complex_name,protein_path,ligand_description,protein_sequence
NDM1__captopril,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,CC(CS)C(=O)N1CCCC1C(=O)O,
NDM1__disulfiram,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,CCN(CC)C(=S)SSC(=S)N(CC)CC,
NDM1__ebselen,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,
NDM1__acetazolamide,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,
NDM1__probenecid,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,
NDM1__aspirin,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,CC(=O)OC1=CC=CC=C1C(=O)O,
NDM1__metformin,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,CN(C)C(=N)N=C(N)N,
NDM1__atorvastatin,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,
NDM1__omeprazole,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,
NDM1__ciprofloxacin,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,
NDM1__metronidazole,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,CC1=NC=C(N1CCO)[N+](=O)[O-],
NDM1__doxycycline,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,
NDM1__rifampicin,/home/satyawansingh/biocompiler/repurposing_screen/4eyl.pdb,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,
